Year,Country / territory of asylum/residence,Origin,Population type,Value
1991,El Salvador,Nicaragua,Returnees,200
1991,Serbia and Kosovo (S/RES/1244 (1999)),Albania,Returnees,220
1991,Swaziland,South Africa,Returnees,620
1991,Thailand,Cambodia,Returnees,70
1991,Thailand,Lao People's Dem. Rep.,Returnees,2322
1991,Thailand,Viet Nam,Returnees,2691
1991,United Rep. of Tanzania,Burundi,Returnees,5990
1991,United States of America,Lao People's Dem. Rep.,Returnees,22
1991,Venezuela (Bolivarian Republic of),Chile,Returnees,140
1991,Yemen,Ethiopia,Returnees,60
1991,Zambia,Angola,Returnees,70
1991,Zambia,Mozambique,Returnees,340
1991,Zambia,South Africa,Returnees,1890
1992,Burundi,Dem. Rep. of the Congo,Returnees,70
1992,Burundi,Rwanda,Returnees,140
1992,Benin,Chad,Returnees,230
1992,Bangladesh,Myanmar,Returnees,8530
1992,Bahamas,Haiti,Returnees,980
1992,Belize,Guatemala,Returnees,200
1992,Belize,El Salvador,Returnees,210
1992,Botswana,South Africa,Returnees,600
1992,Central African Rep.,Sudan,Returnees,630
1992,Central African Rep.,Chad,Returnees,330
1992,China,Lao People's Dem. Rep.,Returnees,1621
1992,China,Viet Nam,Returnees,90
1992,Cameroon,Chad,Returnees,3430
1992,Dem. Rep. of the Congo,Angola,Returnees,83070
1992,Dem. Rep. of the Congo,Burundi,Returnees,31770
1992,Congo,Chad,Returnees,120
1992,Comoros,Liberia,Returnees,350
1992,Costa Rica,Nicaragua,Returnees,1740
1992,Costa Rica,El Salvador,Returnees,500
1992,Cuba,Haiti,Returnees,2560
1992,Djibouti,Ethiopia,Returnees,3180
1992,Dominican Rep.,Haiti,Returnees,1520
1992,Ecuador,Colombia,Returnees,70
1992,Egypt,Ethiopia,Returnees,150
1992,France,Angola,Returnees,1
1992,France,Albania,Returnees,2
1992,France,Chile,Returnees,82
1992,France,Cameroon,Returnees,1
1992,France,Dem. Rep. of the Congo,Returnees,1
1992,France,Colombia,Returnees,1
1992,France,Iran (Islamic Rep. of),Returnees,8
1992,France,Lao People's Dem. Rep.,Returnees,1
1992,France,Sri Lanka,Returnees,2
1992,France,Mozambique,Returnees,1
1992,France,El Salvador,Returnees,1
1992,France,Uganda,Returnees,1
1992,United Kingdom,Chile,Returnees,45
1992,United Kingdom,Ethiopia,Returnees,2
1992,United Kingdom,Ghana,Returnees,5
1992,United Kingdom,Kenya,Returnees,5
1992,United Kingdom,Namibia,Returnees,1
1992,United Kingdom,Pakistan,Returnees,4
1992,United Kingdom,Seychelles,Returnees,7
1992,United Kingdom,United Rep. of Tanzania,Returnees,1
1992,United Kingdom,Uganda,Returnees,1
1992,United Kingdom,South Africa,Returnees,163
1992,Guinea,Liberia,Returnees,80460
1992,Guinea,Sierra Leone,Returnees,3030
1992,Guinea-Bissau,Senegal,Returnees,710
1992,Guatemala,Nicaragua,Returnees,180
1992,Guatemala,El Salvador,Returnees,50
1992,French Guiana,Suriname,Returnees,4580
1992,"China, Hong Kong SAR",Viet Nam,Returnees,12333
1992,Honduras,Haiti,Returnees,110
1992,Honduras,El Salvador,Returnees,1500
1992,Indonesia,Viet Nam,Returnees,1002
1992,India,Afghanistan,Returnees,333
1992,India,Ethiopia,Returnees,3
1992,India,Iran (Islamic Rep. of),Returnees,9
1992,India,Iraq,Returnees,1
1992,India,Sri Lanka,Returnees,29100
1992,India,Somalia,Returnees,8
1992,India,South Africa,Returnees,2
1992,Iran (Islamic Rep. of),Afghanistan,Returnees,216600
1992,Iraq,Iran (Islamic Rep. of),Returnees,2600
1992,Jamaica,Haiti,Returnees,50
1992,Kenya,Ethiopia,Returnees,8400
1992,Kenya,Sudan,Returnees,3500
1992,Kenya,Somalia,Returnees,4430
1992,Kenya,Uganda,Returnees,2290
1992,Liberia,Sierra Leone,Returnees,9950
1992,Mexico,Guatemala,Returnees,1820
1992,Mexico,El Salvador,Returnees,170
1992,Malaysia,Viet Nam,Returnees,756
1992,Namibia,Angola,Returnees,60
1992,Namibia,Dem. Rep. of the Congo,Returnees,190
1992,Niger,Chad,Returnees,200
1992,Nicaragua,El Salvador,Returnees,480
1992,Nepal,China,Returnees,2460
1992,Pakistan,Afghanistan,Returnees,1360000
1992,Philippines,Viet Nam,Returnees,130
1992,Poland,Serbia and Kosovo (S/RES/1244 (1999)),Returnees,3500
1992,Romania,Albania,Returnees,230
1992,Romania,Somalia,Returnees,80
1992,Rwanda,Burundi,Returnees,9680
1992,Saudi Arabia,Iraq,Returnees,520
1992,Sudan,Eritrea,Returnees,70000
1992,Sudan,Chad,Returnees,5500
1992,Sudan,Uganda,Returnees,2700
1992,Senegal,Mauritania,Returnees,490
1992,Sierra Leone,Liberia,Returnees,110
1992,El Salvador,Nicaragua,Returnees,120
1992,Slovenia,Bosnia and Herzegovina,Returnees,10300
1992,Slovenia,Croatia,Returnees,29360
1992,Thailand,Cambodia,Returnees,7710
1992,Thailand,Lao People's Dem. Rep.,Returnees,3036
1992,Thailand,Viet Nam,Returnees,2719
1992,Turkey,Iran (Islamic Rep. of),Returnees,60
1992,Turkey,Iraq,Returnees,17280
1992,United Rep. of Tanzania,Burundi,Returnees,6800
1992,United Rep. of Tanzania,Mozambique,Returnees,240
1992,United Rep. of Tanzania,Somalia,Returnees,400
1992,Uganda,Dem. Rep. of the Congo,Returnees,15000
1992,Venezuela (Bolivarian Republic of),Chile,Returnees,160
1992,Venezuela (Bolivarian Republic of),Haiti,Returnees,80
1992,Viet Nam,Cambodia,Returnees,1140
1992,Various/Unknown,Mozambique,Returnees,158097
1992,Yemen,Ethiopia,Returnees,260
1992,Zambia,Angola,Returnees,1650
1992,Zambia,Mozambique,Returnees,460
1992,Zambia,Namibia,Returnees,140
1992,Zambia,South Africa,Returnees,1260
1992,Zimbabwe,South Africa,Returnees,150
1993,Angola,Dem. Rep. of the Congo,Returnees,91
1993,Angola,Kenya,Returnees,1
1993,Angola,Chad,Returnees,1
1993,Angola,South Africa,Returnees,56
1993,Argentina,Chile,Returnees,380
1993,Argentina,Liberia,Returnees,1
1993,Argentina,Peru,Returnees,1
1993,Australia,Chile,Returnees,89
1993,Australia,Ethiopia,Returnees,54
1993,Australia,Sri Lanka,Returnees,9
1993,Australia,El Salvador,Returnees,48
1993,Austria,Chile,Returnees,5
1993,Burundi,Rwanda,Returnees,150
1993,Burundi,Somalia,Returnees,13
1993,Burundi,Uganda,Returnees,1
1993,Benin,Algeria,Returnees,1
1993,Benin,Liberia,Returnees,5
1993,Benin,Sri Lanka,Returnees,22
1993,Benin,Chad,Returnees,8
1993,Benin,Togo,Returnees,377
1993,Bangladesh,Iran (Islamic Rep. of),Returnees,1
1993,Bangladesh,Myanmar,Returnees,46129
1993,Bangladesh,Sudan,Returnees,1
1993,Bahamas,Haiti,Returnees,363
1993,Belize,Guatemala,Returnees,18
1993,Belize,Honduras,Returnees,5
1993,Belize,Nicaragua,Returnees,7
1993,Belize,El Salvador,Returnees,135
1993,Brazil,Chile,Returnees,27
1993,Brazil,Nicaragua,Returnees,1
1993,Botswana,Ethiopia,Returnees,1
1993,Botswana,Lesotho,Returnees,3
1993,Botswana,Mozambique,Returnees,1
1993,Botswana,South Africa,Returnees,71
1993,Central African Rep.,Angola,Returnees,10
1993,Central African Rep.,Sudan,Returnees,182
1993,Central African Rep.,Chad,Returnees,172
1993,Canada,Chile,Returnees,65
1993,Canada,Iran (Islamic Rep. of),Returnees,1
1993,Canada,South Africa,Returnees,9
1993,Switzerland,Chile,Returnees,1
1993,Switzerland,Lao People's Dem. Rep.,Returnees,1
1993,China,Afghanistan,Returnees,3
1993,China,Bosnia and Herzegovina,Returnees,1
1993,China,Dem. Rep. of the Congo,Returnees,1
1993,China,Iran (Islamic Rep. of),Returnees,6
1993,China,Iraq,Returnees,1
1993,China,Lao People's Dem. Rep.,Returnees,265
1993,China,Sri Lanka,Returnees,4
1993,China,Russian Federation,Returnees,1
1993,China,Sudan,Returnees,1
1993,China,Somalia,Returnees,1
1993,C̫te d'Ivoire,Ghana,Returnees,1
1993,C̫te d'Ivoire,Liberia,Returnees,9347
1993,C̫te d'Ivoire,Niger,Returnees,2
1993,C̫te d'Ivoire,Chad,Returnees,3
1993,C̫te d'Ivoire,South Africa,Returnees,3
1993,Cameroon,Namibia,Returnees,7
1993,Cameroon,Chad,Returnees,564
1993,Dem. Rep. of the Congo,Angola,Returnees,1003
